         307803174 function calls (304718001 primitive calls) in 198.495 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4799    0.005    0.000    0.012    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:221(duplicate)
      423    0.011    0.000    0.011    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:243(_keep_alive)
     5873    0.009    0.000    0.011    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:266(__init__)
     4025    0.010    0.000    0.010    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:199(__eq__)
    10228    0.008    0.000    0.008    0.000 {built-in method builtins.next}
    12863    0.007    0.000    0.007    0.000 {built-in method builtins.vars}
      206    0.002    0.000    0.007    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:690(get_valid_words)
     4062    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
        3    0.006    0.002    0.006    0.002 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:570(annotate_environment)
      195    0.004    0.000    0.004    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:705(<listcomp>)
    10224    0.003    0.000    0.003    0.000 {method 'copy' of 'list' objects}
      544    0.003    0.000    0.003    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:727(<listcomp>)
     1090    0.002    0.000    0.003    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:258(duplicate)
     5887    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
      222    0.001    0.000    0.003    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:668(get_valid_indices)
     1223    0.002    0.000    0.002    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:250(duplicate)
2644/2604    0.002    0.000    0.002    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:354(__eq__)
      644    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:717(<listcomp>)
      368    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:655(get_positions)
      511    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:242(duplicate)
      222    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:343(<listcomp>)
      707    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:48(__lt__)
     1677    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:182(__eq__)
      208    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
       87    0.000    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:265(<listcomp>)
     1239    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:216(__eq__)
      644    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:363(<listcomp>)
      360    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:547(<listcomp>)
      416    0.000    0.000    0.001    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:264(<genexpr>)
      364    0.000    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:167(duplicate)
      222    0.001    0.000    0.001    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:670(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/signal.py:54(signal)
      854    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:273(__eq__)
     2833    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       50    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:680(<listcomp>)
      504    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:335(__eq__)
      206    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:692(<listcomp>)
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:267(<listcomp>)
        4    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/signal.py:24(_int_to_enum)
       15    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:517(<setcomp>)
      170    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:226(duplicate)
     1504    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:182(_deepcopy_atomic)
     1706    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      206    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:353(<listcomp>)
      208    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copyreg.py:100(__newobj__)
        2    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:925(<listcomp>)
      170    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:234(duplicate)
       32    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:260(<listcomp>)
      416    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        4    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/enum.py:359(__call__)
       18    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copyreg.py:109(_slotnames)
        4    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/enum.py:678(__new__)
        8    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/signal.py:34(_enum_to_int)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      203    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      185    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:200(get_indices)
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:279(get_output_objs)
      208    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10e9922e0}
      208    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:54(handler)
       23    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:63(__eq__)
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:75(__init__)
        1    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/genericpath.py:16(exists)
        4    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:239(<setcomp>)
       15    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:27(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _signal.alarm}
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       18    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:313(__eq__)
       18    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/codecs.py:309(__init__)
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:205(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:572(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/enum.py:741(_missing_)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


